Year,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
1850,14.867166666666668,0.30816666666666676
1851,14.991833333333332,0.3120833333333333
1852,15.006500000000003,0.3164166666666667
1853,14.955166666666669,0.2838333333333333
1854,14.990999999999998,0.2764166666666667
1855,15.021083333333332,0.2911666666666667
1856,14.879333333333333,0.2601666666666667
1857,14.758249999999999,0.25975
1858,14.8815,0.2518333333333334
1859,14.929916666666669,0.25825000000000004
1860,14.882916666666665,0.2521666666666667
1861,14.800666666666666,0.27849999999999997
1862,14.740083333333333,0.2876666666666667
1863,14.93575,0.3163333333333333
1864,14.896499999999998,0.28783333333333333
1865,14.996666666666668,0.30424999999999996
1866,15.057000000000002,0.28608333333333336
1867,15.058666666666667,0.28575
1868,15.096916666666667,0.24933333333333332
1869,15.065499999999998,0.24358333333333337
1870,15.004333333333335,0.22483333333333333
1871,15.00591666666667,0.232
1872,15.019333333333336,0.2305
1873,15.04925,0.2220833333333333
1874,14.957,0.21333333333333335
1875,14.921916666666668,0.19708333333333336
1876,14.90941666666667,0.19333333333333333
1877,15.28266666666667,0.19674999999999998
1878,15.357416666666666,0.18625000000000003
1879,15.064416666666668,0.18341666666666664
1880,15.008666666666665,0.1729166666666667
1881,15.087166666666668,0.17008333333333334
1882,15.05658333333333,0.16008333333333333
1883,14.96325,0.1511666666666667
1884,14.833250000000001,0.15066666666666667
1885,14.854416666666667,0.15491666666666667
1886,14.835250000000002,0.14533333333333334
1887,14.816,0.15016666666666667
1888,14.994083333333336,0.14925
1889,15.113416666666668,0.15241666666666667
1890,14.84075,0.1496666666666667
1891,14.94383333333333,0.15358333333333332
1892,14.8825,0.156
1893,14.912250000000002,0.15425000000000003
1894,14.91475,0.15033333333333332
1895,14.969000000000001,0.14683333333333334
1896,15.090583333333335,0.148
1897,15.075333333333335,0.14933333333333335
1898,14.886916666666664,0.1485
1899,15.048333333333334,0.1475
1900,15.143916666666668,0.15025
1901,15.073333333333332,0.14575000000000002
1902,14.958333333333334,0.13549999999999998
1903,14.836583333333335,0.13483333333333336
1904,14.810416666666669,0.13308333333333333
1905,14.954666666666666,0.129
1906,15.03191666666667,0.12858333333333336
1907,14.874833333333335,0.12583333333333332
1908,14.838166666666671,0.12508333333333332
1909,14.790333333333335,0.11950000000000001
1910,14.819083333333333,0.11758333333333332
1911,14.776000000000002,0.11516666666666668
1912,14.877166666666666,0.11691666666666667
1913,14.908749999999998,0.11708333333333336
1914,15.076250000000002,0.12525
1915,15.143749999999999,0.13425
1916,14.901333333333334,0.13483333333333336
1917,14.809750000000003,0.14049999999999999
1918,14.959833333333336,0.1481666666666667
1919,15.006749999999998,0.14283333333333334
1920,15.026249999999997,0.13558333333333333
1921,15.102083333333335,0.12916666666666668
1922,15.012333333333336,0.12408333333333334
1923,15.027833333333332,0.12266666666666669
1924,15.039333333333333,0.12450000000000001
1925,15.090333333333334,0.12391666666666667
1926,15.241083333333336,0.12241666666666666
1927,15.122250000000001,0.12166666666666666
1928,15.13225,0.12333333333333334
1929,14.967416666666665,0.12466666666666669
1930,15.172499999999998,0.12891666666666668
1931,15.228250000000003,0.12908333333333333
1932,15.188000000000002,0.12941666666666668
1933,15.012916666666667,0.12708333333333333
1934,15.1445,0.12441666666666669
1935,15.118833333333335,0.12233333333333335
1936,15.166166666666667,0.12033333333333335
1937,15.3005,0.12000000000000001
1938,15.293083333333334,0.11858333333333333
1939,15.302333333333332,0.12058333333333333
1940,15.372083333333334,0.12283333333333335
1941,15.384666666666666,0.11591666666666667
1942,15.325333333333338,0.1330833333333333
1943,15.344999999999999,0.13366666666666668
1944,15.449083333333334,0.12775
1945,15.33075,0.13033333333333333
1946,15.262750000000002,0.1324166666666667
1947,15.31016666666667,0.12875000000000003
1948,15.261166666666668,0.12850000000000003
1949,15.22275,0.10741666666666667
1950,15.1395,0.10233333333333333
1951,15.311166666666665,0.09891666666666665
1952,15.363083333333334,0.10166666666666667
1953,15.421083333333334,0.10225
1954,15.230583333333335,0.09533333333333333
1955,15.174333333333335,0.0880833333333333
1956,15.106,0.07966666666666665
1957,15.374083333333331,0.08441666666666665
